"filename", "language", "Verilog", "Markdown", "Xilinx Design Constraints", "Python", "comment", "blank", "total"
"d:\fpga\project\PlaneWar\README.md", "Markdown", 0, 5, 0, 0, 0, 3, 8
"d:\fpga\project\PlaneWar\src\constrs\constrs.xdc", "Xilinx Design Constraints", 0, 0, 43, 0, 3, 5, 51
"d:\fpga\project\PlaneWar\src\header\define.v", "Verilog", 88, 0, 0, 0, 19, 10, 117
"d:\fpga\project\PlaneWar\src\rtl\bullet.v", "Verilog", 106, 0, 0, 0, 10, 11, 127
"d:\fpga\project\PlaneWar\src\rtl\clk_mgr.v", "Verilog", 25, 0, 0, 0, 10, 4, 39
"d:\fpga\project\PlaneWar\src\rtl\dff_delay.v", "Verilog", 43, 0, 0, 0, 8, 5, 56
"d:\fpga\project\PlaneWar\src\rtl\disp_ctrl.v", "Verilog", 57, 0, 0, 0, 8, 7, 72
"d:\fpga\project\PlaneWar\src\rtl\dri_vga.v", "Verilog", 56, 0, 0, 0, 11, 10, 77
"d:\fpga\project\PlaneWar\src\rtl\enc_btn.v", "Verilog", 35, 0, 0, 0, 8, 5, 48
"d:\fpga\project\PlaneWar\src\rtl\enemy1.v", "Verilog", 147, 0, 0, 0, 35, 8, 190
"d:\fpga\project\PlaneWar\src\rtl\enemy_mgr.v", "Verilog", 5, 0, 0, 0, 0, 1, 6
"d:\fpga\project\PlaneWar\src\rtl\me.v", "Verilog", 136, 0, 0, 0, 18, 10, 164
"d:\fpga\project\PlaneWar\src\rtl\top.v", "Verilog", 107, 0, 0, 0, 15, 14, 136
"d:\fpga\project\PlaneWar\utils\gen_coe.py", "Python", 0, 0, 0, 79, 1, 11, 91
"Total", "-", 805, 5, 43, 79, 146, 104, 1182
